department,year,base,unit,count
工業化学科,1962,公立,学科,0
工業化学科,1962,公立,学級,0
工業化学科,1962,私立,学科,0
工業化学科,1962,私立,学級,0
工業化学科,1962,計,学科,4
工業化学科,1962,計,学級,4
化学工学科,1962,国立,学科,0
化学工学科,1962,国立,学級,0
化学工学科,1962,公立,学科,0
化学工学科,1962,公立,学級,0
化学工学科,1962,私立,学科,1
化学工学科,1962,私立,学級,1
化学工学科,1962,計,学科,1
化学工学科,1962,計,学級,1
応用化学科,1962,国立,学科,0
応用化学科,1962,国立,学級,0
応用化学科,1962,公立,学科,0
応用化学科,1962,公立,学級,0
応用化学科,1962,私立,学科,0
応用化学科,1962,私立,学級,0
応用化学科,1962,計,学科,0
応用化学科,1962,計,学級,0
物質工学科,1962,国立,学科,0
物質工学科,1962,国立,学級,0
物質工学科,1962,公立,学科,0
物質工学科,1962,公立,学級,0
物質工学科,1962,私立,学科,0
物質工学科,1962,私立,学級,0
物質工学科,1962,計,学科,0
物質工学科,1962,計,学級,0
物質化学工学科,1962,国立,学科,0
物質化学工学科,1962,国立,学級,0
物質化学工学科,1962,公立,学科,0
物質化学工学科,1962,公立,学級,0
物質化学工学科,1962,私立,学科,0
物質化学工学科,1962,私立,学級,0
物質化学工学科,1962,計,学科,0
物質化学工学科,1962,計,学級,0
生物工学科,1962,国立,学科,0
生物工学科,1962,国立,学級,0
生物工学科,1962,公立,学科,0
生物工学科,1962,公立,学級,0
生物工学科,1962,私立,学科,0
生物工学科,1962,私立,学級,0
生物工学科,1962,計,学科,0
生物工学科,1962,計,学級,0
生物応用化学科,1962,国立,学科,0
生物応用化学科,1962,国立,学級,0
生物応用化学科,1962,公立,学科,0
生物応用化学科,1962,公立,学級,0
生物応用化学科,1962,私立,学科,0
生物応用化学科,1962,私立,学級,0
生物応用化学科,1962,計,学科,0
生物応用化学科,1962,計,学級,0
生物資源工学科,1962,国立,学科,0
生物資源工学科,1962,国立,学級,0
生物資源工学科,1962,公立,学科,0
生物資源工学科,1962,公立,学級,0
生物資源工学科,1962,私立,学科,0
生物資源工学科,1962,私立,学級,0
生物資源工学科,1962,計,学科,0
生物資源工学科,1962,計,学級,0
生物化学システム工学科,1962,国立,学科,0
生物化学システム工学科,1962,国立,学級,0
生物化学システム工学科,1962,公立,学科,0
生物化学システム工学科,1962,公立,学級,0
生物化学システム工学科,1962,私立,学科,0
生物化学システム工学科,1962,私立,学級,0
生物化学システム工学科,1962,計,学科,0
生物化学システム工学科,1962,計,学級,0
物質環境工学科,1962,国立,学科,0
物質環境工学科,1962,国立,学級,0
物質環境工学科,1962,公立,学科,0
物質環境工学科,1962,公立,学級,0
物質環境工学科,1962,私立,学科,0
物質環境工学科,1962,私立,学級,0
物質環境工学科,1962,計,学科,0
物質環境工学科,1962,計,学級,0
化学・バイオ工学科,1962,国立,学科,0
化学・バイオ工学科,1962,国立,学級,0
化学・バイオ工学科,1962,公立,学科,0
化学・バイオ工学科,1962,公立,学級,0
化学・バイオ工学科,1962,私立,学科,0
化学・バイオ工学科,1962,私立,学級,0
化学・バイオ工学科,1962,計,学科,0
化学・バイオ工学科,1962,計,学級,0
土木工学科,1962,国立,学科,3
土木工学科,1962,国立,学級,3
土木工学科,1962,公立,学科,0
土木工学科,1962,公立,学級,0
土木工学科,1962,私立,学科,1
土木工学科,1962,私立,学級,1
土木工学科,1962,計,学科,4
土木工学科,1962,計,学級,4
土木建築工学科,1962,国立,学科,0
土木建築工学科,1962,国立,学級,0
土木建築工学科,1962,公立,学科,0
土木建築工学科,1962,公立,学級,0
土木建築工学科,1962,私立,学科,0
土木建築工学科,1962,私立,学級,0
土木建築工学科,1962,計,学科,0
土木建築工学科,1962,計,学級,0
建築学科,1962,国立,学科,0
建築学科,1962,国立,学級,0
建築学科,1962,公立,学科,0
建築学科,1962,公立,学級,0
建築学科,1962,私立,学科,1
建築学科,1962,私立,学級,1
建築学科,1962,計,学科,1
建築学科,1962,計,学級,1
建設工学科,1962,国立,学科,0
建設工学科,1962,国立,学級,0
建設工学科,1962,公立,学科,0
建設工学科,1962,公立,学級,0
建設工学科,1962,私立,学科,0
建設工学科,1962,私立,学級,0
建設工学科,1962,計,学科,0
建設工学科,1962,計,学級,0
環境都市工学科,1962,国立,学科,0
環境都市工学科,1962,国立,学級,0
環境都市工学科,1962,公立,学科,0
環境都市工学科,1962,公立,学級,0
環境都市工学科,1962,私立,学科,0
環境都市工学科,1962,私立,学級,0
環境都市工学科,1962,計,学科,0
環境都市工学科,1962,計,学級,0
都市・環境工学科,1962,国立,学科,0
都市・環境工学科,1962,国立,学級,0
都市・環境工学科,1962,公立,学科,0
都市・環境工学科,1962,公立,学級,0
都市・環境工学科,1962,私立,学科,0
都市・環境工学科,1962,私立,学級,0
都市・環境工学科,1962,計,学科,0
都市・環境工学科,1962,計,学級,0
環境都市デザイン工学科,1962,国立,学科,0
環境都市デザイン工学科,1962,国立,学級,0
環境都市デザイン工学科,1962,公立,学科,0
環境都市デザイン工学科,1962,公立,学級,0
環境都市デザイン工学科,1962,私立,学科,0
環境都市デザイン工学科,1962,私立,学級,0
環境都市デザイン工学科,1962,計,学科,0
環境都市デザイン工学科,1962,計,学級,0
都市環境デザイン工学科,1962,国立,学科,0
都市環境デザイン工学科,1962,国立,学級,0
都市環境デザイン工学科,1962,公立,学科,0
都市環境デザイン工学科,1962,公立,学級,0
都市環境デザイン工学科,1962,私立,学科,0
都市環境デザイン工学科,1962,私立,学級,0
都市環境デザイン工学科,1962,計,学科,0
都市環境デザイン工学科,1962,計,学級,0
環境・建設工学科,1962,国立,学科,0
環境・建設工学科,1962,国立,学級,0
環境・建設工学科,1962,公立,学科,0
環境・建設工学科,1962,公立,学級,0
環境・建設工学科,1962,私立,学科,0
環境・建設工学科,1962,私立,学級,0
環境・建設工学科,1962,計,学科,0
環境・建設工学科,1962,計,学級,0
建設システム工学科,1962,国立,学科,0
建設システム工学科,1962,国立,学級,0
建設システム工学科,1962,公立,学科,0
建設システム工学科,1962,公立,学級,0
建設システム工学科,1962,私立,学科,0
建設システム工学科,1962,私立,学級,0
建設システム工学科,1962,計,学科,0
建設システム工学科,1962,計,学級,0
都市システム工学科,1962,国立,学科,0
都市システム工学科,1962,国立,学級,0
都市システム工学科,1962,公立,学科,0
都市システム工学科,1962,公立,学級,0
都市システム工学科,1962,私立,学科,0
都市システム工学科,1962,私立,学級,0
都市システム工学科,1962,計,学科,0
都市システム工学科,1962,計,学級,0
建設環境工学科,1962,国立,学科,0
建設環境工学科,1962,国立,学級,0
建設環境工学科,1962,公立,学科,0
建設環境工学科,1962,公立,学級,0
建設環境工学科,1962,私立,学科,0
建設環境工学科,1962,私立,学級,0
建設環境工学科,1962,計,学科,0
建設環境工学科,1962,計,学級,0
都市工学科,1962,国立,学科,0
都市工学科,1962,国立,学級,0
都市工学科,1962,公立,学科,0
都市工学科,1962,公立,学級,0
都市工学科,1962,私立,学科,0
都市工学科,1962,私立,学級,0
都市工学科,1962,計,学科,0
都市工学科,1962,計,学級,0
建築デザイン学科,1962,国立,学科,0
建築デザイン学科,1962,国立,学級,0
建築デザイン学科,1962,公立,学科,0
建築デザイン学科,1962,公立,学級,0
建築デザイン学科,1962,私立,学科,0
