学校コード,学校種,都道府県番号,設置区分１,本分校,学校名,学校所在地,郵便番号,属性情報設定年月日,属性情報廃止年月日,旧学校調査番号,移行後の学校コード
F211310102306,F2,11,3,1,山村学園短期大学,比企郡鳩山町石坂６０４,3500311,2021-01-20,,5162,
F211310102315,F2,11,3,1,武蔵丘短期大学,比企郡吉見町大字南吉見字村上１１１－１,3550154,2021-01-20,,5163,
F211310102324,F2,11,3,1,埼玉東萌短期大学,越谷市新越谷２－２１－１,3430857,2021-01-20,,5262,
F112110102337,F1,12,1,1,千葉大学,千葉市稲毛区弥生町１－３３,2638522,2021-01-20,,0168,
F112210102353,F1,12,2,1,千葉県立保健医療大学,千葉市美浜区若葉２丁目１０番１号,2610014,2021-01-20,,1144,
F112310102342,F1,12,3,1,放送大学,千葉市美浜区若葉町２－１１,2610014,2021-01-20,,0991,
F112310102360,F1,12,3,1,千葉科学大学,銚子市潮見町３番地,2880025,2021-01-20,,2123,
F112310102379,F1,12,3,1,愛国学園大学,四街道市四街道１５３２,2840005,2021-01-20,,2166,
F112310102388,F1,12,3,1,開智国際大学,柏市柏１２２５番６,2770005,2021-01-20,,2167,
F112310102397,F1,12,3,1,清和大学,木更津市東太田３－４－５,2928555,2021-01-20,,2168,
F112310102404,F1,12,3,1,城西国際大学,東金市求名１,2838555,2021-01-20,,2170,
F112310102413,F1,12,3,1,淑徳大学,千葉市中央区大巌寺町２００,2608701,2021-01-20,,2171,
F112310102422,F1,12,3,1,敬愛大学,千葉市稲毛区穴川１－５－２１,2630024,2021-01-20,,2172,
F112310102431,F1,12,3,1,千葉工業大学,習志野市津田沼２－１７－１,2750016,2021-01-20,,2173,
F112310102440,F1,12,3,1,千葉商科大学,市川市国府台１－３－１,2728512,2021-01-20,,2174,
F112310102459,F1,12,3,1,中央学院大学,我孫子市久寺家４５１,2701196,2021-01-20,,2175,
F112310102468,F1,12,3,1,麗澤大学,柏市光ケ丘２－１－１,2778686,2021-01-20,,2176,
F112310102477,F1,12,3,1,和洋女子大学,市川市国府台２－３－１,2728533,2021-01-20,,2177,
F112310102486,F1,12,3,1,国際武道大学,勝浦市新官８４１,2995224,2021-01-20,,2180,
F112310102495,F1,12,3,1,神田外語大学,千葉市美浜区若葉１－４－１,2600000,2021-01-20,,2181,
F112310102501,F1,12,3,1,千葉経済大学,千葉市稲毛区轟町３－５９－５,2630021,2021-01-20,,2183,
F112310102510,F1,12,3,1,秀明大学,八千代市大学町１－１,2760003,2021-01-20,,2184,
F112310102529,F1,12,3,1,川村学園女子大学,我孫子市下ケ戸１１３３,2701138,2021-01-20,,2185,
F112310102538,F1,12,3,1,東京情報大学,千葉市若葉区御成台4-1,2658501,2021-01-20,,2186,
F112310102547,F1,12,3,1,東京基督教大学,印西市内野３－３０１－５,2701347,2021-01-20,,2187,
F112310102556,F1,12,3,1,聖徳大学,松戸市岩瀬５５０,2718555,2021-01-20,,2188,
F112310102565,F1,12,3,1,江戸川大学,流山市駒木４７４,2700198,2021-01-20,,2189,
F112310102574,F1,12,3,1,了徳寺大学,浦安市明海5丁目8番1号,2798567,2021-01-20,,2262,
F112310102583,F1,12,3,1,植草学園大学,千葉市若葉区小倉町１６３９番３,2640007,2021-01-20,,2263,
F112310102592,F1,12,3,1,三育学院大学,夷隅郡大多喜町久我原１５００番地,2980200,2021-01-20,,2264,
F112310102609,F1,12,3,1,亀田医療大学,鴨川市横渚４６２番地,2960001,2021-01-20,,2270,
F212310102617,F2,12,3,1,千葉明徳短期大学,千葉市中央区南生実町１４１２,2608685,2021-01-20,,5156,
F212310102626,F2,12,3,1,昭和学院短期大学,市川市東菅野２－１７－１,2720823,2021-01-20,,5171,
F212310102635,F2,12,3,1,聖徳大学短期大学部,松戸市岩瀬５５０,2718555,2021-01-20,,5172,
F212310102644,F2,12,3,1,清和大学短期大学部,木更津市東太田３－４－２,2928511,2021-01-20,,5173,
F212310102653,F2,12,3,1,千葉敬愛短期大学,佐倉市山王１－９,2850807,2021-01-20,,5174,
F212310102662,F2,12,3,1,千葉経済大学短期大学部,千葉市稲毛区轟町3-59-5,2630021,2021-01-20,,5178,
F212310102671,F2,12,3,1,東京経営短期大学,市川市二俣６２５－１,2720001,2021-01-20,,5184,
F212310102680,F2,12,3,1,植草学園短期大学,千葉市若葉区小倉町１６３９番３,2640007,2021-01-20,,5185,
G112110102692,G1,12,1,1,木更津工業高等専門学校,木更津市清見台東２－１１－１,2920041,2021-01-20,,6556,
F113110102700,F1,13,1,1,東京大学,文京区本郷７－３－１,1130033,2021-01-20,,0172,
F113110102719,F1,13,1,1,東京医科歯科大学,文京区湯島１－５－４５,1130034,2021-01-20,,0176,
F113110102728,F1,13,1,1,東京外国語大学,府中市朝日町３－１１－１,1838534,2021-01-20,,0180,
F113110102737,F1,13,1,1,東京芸術大学,台東区上野公園１２－８,1100007,2021-01-20,,0184,
F113110102746,F1,13,1,1,東京工業大学,目黒区大岡山２－１２－１,1528550,2021-01-20,,0192,
F113110102755,F1,13,1,1,お茶の水女子大学,文京区大塚２－１－１,1128610,2021-01-20,,0204,
F113110102764,F1,13,1,1,東京学芸大学,小金井市貫井北町４－１－１,1848501,2021-01-20,,0208,
F113110102773,F1,13,1,1,東京農工大学,府中市晴見町３－８－１,1838538,2021-01-20,,0212,
F113110102782,F1,13,1,1,電気通信大学,調布市調布ケ丘１－５－１,1828585,2021-01-20,,0216,
F113110102791,F1,13,1,1,一橋大学,国立市中２－１,1868601,2021-01-20,,0220,
F113110102808,F1,13,1,1,政策研究大学院大学,港区六本木７－２２－１,1068677,2021-01-20,,0496,
F113110102817,F1,13,1,1,東京海洋大学,港区港南４－５－７,1088477,2021-01-20,,0504,
F113210102824,F1,13,2,1,東京都立大学,八王子市南大沢１丁目１番,1920397,2021-01-20,,1149,
F113210102833,F1,13,2,1,東京都立産業技術大学院大学,品川区東大井一丁目１０番４０号,1400011,2021-01-20,,1154,
F113310102840,F1,13,3,1,東京福祉大学,豊島区東池袋４－２３－１,1708426,2021-01-20,,2144,
F113310102859,F1,13,3,1,跡見学園女子大学,文京区大塚１－５－２,1128687,2021-01-20,,2152,
F113310102868,F1,13,3,1,文教大学,品川区旗の台３－２－１７,1420064,2021-01-20,,2158,
F113310102877,F1,13,3,1,文京学院大学,文京区向丘１－１９－１,1138668,2021-01-20,,2164,
F113310102886,F1,13,3,1,目白大学,新宿区中落合４丁目３１番１号,1618539,2021-01-20,,2165,
F113310102895,F1,13,3,1,東京成徳大学,北区十条台１－７－１３,1140033,2021-01-20,,2169,
F113310102902,F1,13,3,1,東洋学園大学,文京区本郷１－２６－３,1130033,2021-01-20,,2179,
F113310102911,F1,13,3,1,帝京平成大学,豊島区東池袋２－５１－４,1708445,2021-01-20,,2182,
F113310102920,F1,13,3,1,青山学院大学,渋谷区渋谷４－４－２５,1500002,2021-01-20,,2190,
F113310102939,F1,13,3,1,上野学園大学,台東区東上野４－２４－１２,1108642,2021-01-20,,2191,
F113310102948,F1,13,3,1,大妻女子大学,千代田区三番町１２,1028357,2021-01-20,,2192,
